Size,Orien,Match,Probe,Target,correct_response,Task
L,H,Y,De boot zeilde op zee.,STI/LARGE/boat_H.jpg,j,V
L,H,Y,Het bureau was voor het raam geplaatst.,STI/LARGE/desk_H.jpg,j,V
L,H,Y,De matras werd op het bed gelegd.,STI/LARGE/mattress_H.jpg,j,V
L,H,Y,De kast was door twee mannen uit het kantoor verhuisd.,STI/LARGE/filingcabinet_H.jpg,j,V
L,H,Y,De bank was in de woonkamer neergezet.,STI/LARGE/sofa_H.jpg,j,V
L,H,Y,Het valluik was gesloten om de dozen veilig te verhuizen.,STI/LARGE/trapdoor_H.jpg,j,V
L,H,Y,De kano gleed over de rivier,STI/LARGE/canoe_H.jpg,j,V
L,H,Y,Het anker lag op de bodem van de zee.,STI/LARGE/anchor_H.jpg,j,V
L,H,N,De jeep viel in de afgrond.,STI/LARGE/jeep_H.jpg,j,V
L,H,N,De ophaalbrug blokkeerde de poort.,STI/LARGE/Drawbridge_H.jpg,j,V
L,H,N,De bus viel in het ravijn.,STI/LARGE/bus_H.jpg,j,V
L,H,N,Het raamkozijn werd in de deur bevestigd.,STI/LARGE/windowframe_H.jpg,j,V
L,H,N,De ladder werd opgeheven toen de brandweerman het dak opklom.,STI/LARGE/ladder_H.jpg,j,V
L,H,N,De replica van het vrijheidsbeeld stond in het park.,STI/LARGE/liberty_H.jpg,j,V
L,H,N,De space shuttle was klaar om gelanceerd te worden.,STI/LARGE/spaceshuttle_H.jpg,j,V
L,H,N,De kraanarm was omhoog toen de arbeiders de lading verplaatsten.,STI/LARGE/crane_H.jpg,j,V
L,V,Y,De Titanic zonk naar de bodem.,STI/LARGE/Titanic_V.jpg,j,V
L,V,Y,Het wijnvat stond in de wijnbar.,STI/LARGE/barrel_V.jpg,j,V
L,V,Y,De parachute werd geopend door de parachutist.,STI/LARGE/parachute_V.jpg,j,V
L,V,Y,De raket werd gelanceerd vanaf de onderzeeër.,STI/LARGE/missle_V.jpg,j,V
L,V,Y,De straaljager vloog omhoog door de wolken,STI/LARGE/jetfighter_V.jpg,j,V
L,V,Y,De verkoopautomaat stond op de hoek van de straat.,STI/LARGE/vending_V.jpg,j,V
L,V,Y,De grote koelkast stond in de keuken.,STI/LARGE/refrigerator_V.jpg,j,V
L,V,Y,De slagbomen werden opgeheven nadat de auto onderzocht was.,STI/LARGE/gate_arms_V.jpg,j,V
L,V,N,Het vliegtuig vloog boven de wolken.,STI/LARGE/aeroplane_V.jpg,j,V
L,V,N,De piano werd rechtop in de vrachtwagen gelegd,STI/LARGE/Uprightpiano_V.jpg,j,V
L,V,N,De raket werd vervoerd naar het lanceerplatform,STI/LARGE/rocket_V.jpg,j,V
L,V,N,De metalen sloopkogel bereikte de maximale hoogte,STI/LARGE/wreckingball_V.jpg,j,V
L,V,N,De straatlantaarn werd vervoerd.,STI/LARGE/streetlantern_V.jpg,j,V
L,V,N,Het stalen vat werd op de vrachtwagen gerold,STI/LARGE/steelbarrel_V.jpg,j,V
L,V,N,Het varkenskarkas lag op de tafel,STI/LARGE/pig_V.jpg,j,V
L,V,N,De vrachtwagen vervoerde het zand.,STI/LARGE/dump-truck_V.jpg,j,V
S,H,Y,De lucifer werd in het doosje gelegd.,STI/SMALL/007-allumette_match.jpg,j,V
S,H,Y,De stok lag in de buurt van de bank in het park.,STI/SMALL/066-canne_cane.jpg,j,V
S,H,Y,De reageerbuis lag op de werktafel.,STI/SMALL/126-eprouvette_test-tube.jpg,j,V
S,H,Y,De bloempot lag voor de deur.,STI/SMALL/242-pot_jar.jpg,j,V
