Size,Orien,Match,Probe,Target,correct_response,Task
L,H,Y,The boat was sailing on the sea.,STI_EXP02/LARGE/boat_H.jpg,j,V
L,H,Y,The desk was placed in front of the window.,STI_EXP02/LARGE/desk_H.jpg,j,V
L,H,Y,The mattress was put on the bed.,STI_EXP02/LARGE/mattress_H.jpg,j,V
L,H,Y,The cabinet was moved out of the office by two men.,STI_EXP02/LARGE/filingcabinet_H.jpg,j,V
L,H,Y,The sofa was installed in the living room.,STI_EXP02/LARGE/sofa_H.jpg,j,V
L,H,Y,The trap door was closed to safely move the boxes.,STI_EXP02/LARGE/trapdoor_H.jpg,j,V
L,H,Y,The canoe was gliding across the river.,STI_EXP02/LARGE/canoe_H.jpg,j,V
L,H,Y,The anchor was on the bottom of the sea.,STI_EXP02/LARGE/anchor_H.jpg,j,V
L,H,N,The jeep was falling into the abyss.,STI_EXP02/LARGE/jeep_H.jpg,j,V
L,H,N,The drawbridge blocked the gate.,STI_EXP02/LARGE/Drawbridge_H.jpg,j,V
L,H,N,The bus was falling into the ravine.,STI_EXP02/LARGE/bus_H.jpg,j,V
L,H,N,The window frame was set on the door.,STI_EXP02/LARGE/windowframe_H.jpg,j,V
L,H,N,The ladder was lifted when the fireman climbed to the roof.,STI_EXP02/LARGE/ladder_H.jpg,j,V
L,H,N,The statue of liberty replica stood in the park.,STI_EXP02/LARGE/liberty_H.jpg,j,V
L,H,N,The space shuttle was ready to be launched.,STI_EXP02/LARGE/spaceshuttle_H.jpg,j,V
L,H,N,The crane arm was up when the workers moved the cargo.,STI_EXP02/LARGE/crane_H.jpg,j,V
L,V,Y,The Titanic was sinking to the bottom.,STI_EXP02/LARGE/Titanic_V.jpg,j,V
L,V,Y,The wine barrel stood in the wine bar.,STI_EXP02/LARGE/barrel_V.jpg,j,V
L,V,Y,The parachute was opened by the parachutist.,STI_EXP02/LARGE/parachute_V.jpg,j,V
L,V,Y,The missile was launched from the submarine.,STI_EXP02/LARGE/missle_V.jpg,j,V
L,V,Y,The jet fighter climbed through the clouds.,STI_EXP02/LARGE/jetfighter_V.jpg,j,V
L,V,Y,The vending machine stood in the street corner.,STI_EXP02/LARGE/vending_V.jpg,j,V
L,V,Y,The big refrigerator was put in the kitchen.,STI_EXP02/LARGE/refrigerator_V.jpg,j,V
L,V,Y,The gate arms were lifted after the car was investigated.,STI_EXP02/LARGE/gate_arms_V.jpg,j,V
L,V,N,The airplane was flying above the clouds.,STI_EXP02/LARGE/aeroplane_V.jpg,j,V
L,V,N,The upright piano was laid in the truck.,STI_EXP02/LARGE/Uprightpiano_V.jpg,j,V
L,V,N,The rocket was transferred to the launch pad.,STI_EXP02/LARGE/rocket_V.jpg,j,V
L,V,N,The metal wrecking ball gained maximal altitude.,STI_EXP02/LARGE/wreckingball_V.jpg,j,V
L,V,N,The street lantern was being transported.,STI_EXP02/LARGE/streetlantern_V.jpg,j,V
L,V,N,The steel barrel was rolled onto the truck.,STI_EXP02/LARGE/steelbarrel_V.jpg,j,V
L,V,N,The pig carcass was on the table.,STI_EXP02/LARGE/pig_V.jpg,j,V
L,V,N,The dump truck carried the sand.,STI_EXP02/LARGE/dump-truck_V.jpg,j,V
S,H,Y,The matchstick was put in the box.,STI_EXP02/SMALL/007-allumette_match.jpg,j,V
S,H,Y,The cane was lying near the park bench.,STI_EXP02/SMALL/066-canne_cane.jpg,j,V
S,H,Y,The test tube was on the work table.,STI_EXP02/SMALL/126-eprouvette_test-tube.jpg,j,V
S,H,Y,The flower pot laid down in front of the door.,STI_EXP02/SMALL/242-pot_jar.jpg,j,V
S,H,Y,The bowling pin was knocked over at the end of the lane.,STI_EXP02/SMALL/248-quille_skittle.jpg,j,V
S,H,Y,The key chain was on the living room table.,STI_EXP02/SMALL/keychain.jpg,j,V
S,H,Y,The tree branch was dropped from the tree.,STI_EXP02/SMALL/branch02.jpg,j,V
S,H,Y,The candy cane was in the candy box.,STI_EXP02/SMALL/candycane01a.jpg,j,V
S,H,N,The carrot was just plucked by the farmer.,STI_EXP02/SMALL/carrot01.jpg,j,V
S,H,N,The leek was to be washed.,STI_EXP02/SMALL/leek.jpg,j,V
S,H,N,The daisy was plucked by the tourist.,STI_EXP02/SMALL/daisy.jpg,j,V
S,H,N,The dust pan was hanged on the wall.,STI_EXP02/SMALL/dustpan.jpg,j,V
S,H,N,The fishing rod was beside the angler's seat.,STI_EXP02/SMALL/fishingrod.jpg,j,V
S,H,N,The spoon was placed in the right of the plate.,STI_EXP02/SMALL/spoon_H.jpg,j,V
S,H,N,The funnel was being used by the chef.,STI_EXP02/SMALL/funnel.jpg,j,V
S,H,N,The ointment was used on the patient’s eye.,STI_EXP02/SMALL/gluetube.jpg,j,V
S,V,Y,The hat was hanged on the wall.,STI_EXP02/SMALL/hat_r.jpg,j,V
S,V,Y,The toothbrush was in the cup.,STI_EXP02/SMALL/toothbrush_V.jpg,j,V
