Size,Orien,Match,Probe,Target,correct_response
L,H,N,The boat was sinking into the sea.,STI_EXP02/LARGE/boat_H.jpg,j
L,H,N,The desk was standing upright in the garage.,STI_EXP02/LARGE/desk_H.jpg,j
L,H,N,The mattress was lifted against the wall.,STI_EXP02/LARGE/mattress_H.jpg,j
L,H,N,The cabinet was placed in the office.,STI_EXP02/LARGE/filingcabinet_H.jpg,j
L,H,N,The sofa was moved on the stroller.,STI_EXP02/LARGE/sofa_H.jpg,j
L,H,N,The trap door was opened to enter the basement.,STI_EXP02/LARGE/trapdoor_H.jpg,j
L,H,N,The canoe was dropping from the top of the water fall.,STI_EXP02/LARGE/canoe_H.jpg,j
L,H,N,The anchor was being lowered.,STI_EXP02/LARGE/anchor_H.jpg,j
L,V,Y,The jeep was falling into the abyss.,STI_EXP02/LARGE/jeep_V.jpg,j
L,V,Y,The drawbridge blocked the gate.,STI_EXP02/LARGE/Drawbridge_V.jpg,j
L,V,Y,The bus was falling into the ravine.,STI_EXP02/LARGE/bus_V.jpg,j
L,V,Y,The window frame was set on the door.,STI_EXP02/LARGE/windowframe_V.jpg,j
L,V,Y,The ladder was lifted when the fireman climbed to the roof.,STI_EXP02/LARGE/ladder_V.jpg,j
L,V,Y,The statue of liberty replica stood in the park.,STI_EXP02/LARGE/liberty_V.jpg,j
L,V,Y,The space shuttle was ready to be launched.,STI_EXP02/LARGE/spaceshuttle_V.jpg,j
L,V,Y,The crane arm was up when the workers moved the cargo.,STI_EXP02/LARGE/crane_V.jpg,j
L,V,N,The Titanic was navigated to its destination.,STI_EXP02/LARGE/Titanic_V.jpg,j
L,V,N,The wine barrel was rolled over the floor.,STI_EXP02/LARGE/barrel_V.jpg,j
L,V,N,The parachute was opened behind the jet plane.,STI_EXP02/LARGE/parachute_V.jpg,j
L,V,N,The missle was flying over the sea.,STI_EXP02/LARGE/missle_V.jpg,j
L,V,N,The jet fighter was flying under the clouds.,STI_EXP02/LARGE/jetfighter_V.jpg,j
L,V,N,The vending machine laid in the truck.,STI_EXP02/LARGE/vending_V.jpg,j
