Size,Orien,Match,Probe,Target,correct_response
L,V,N,De boot zeilde op zee.,STI_EXP02/LARGE/boat_V.jpg,j
L,V,N,Het bureau was voor het raam geplaatst.,STI_EXP02/LARGE/desk_V.jpg,j
L,V,N,De matras werd op het bed gelegd.,STI_EXP02/LARGE/mattress_V.jpg,j
L,V,N,De kast was door twee mannen uit het kantoor verhuisd.,STI_EXP02/LARGE/filingcabinet_V.jpg,j
L,V,N,De bank was in de woonkamer neergezet.,STI_EXP02/LARGE/sofa_V.jpg,j
L,V,N,Het valluik was gesloten om de dozen veilig te verhuizen.,STI_EXP02/LARGE/trapdoor_V.jpg,j
L,V,N,De kano gleed over de rivier,STI_EXP02/LARGE/canoe_V.jpg,j
L,V,N,Het anker lag op de bodem van de zee.,STI_EXP02/LARGE/anchor_V.jpg,j
L,H,Y,De jeep reed op de weg.,STI_EXP02/LARGE/jeep_H.jpg,j
L,H,Y,De ophaalbrug werd neergelaten over de gracht.,STI_EXP02/LARGE/Drawbridge_H.jpg,j
L,H,Y,De bus reed op de weg,STI_EXP02/LARGE/bus_H.jpg,j
L,H,Y,Het raamkozijn werd in het plafond geplaatst,STI_EXP02/LARGE/windowframe_H.jpg,j
L,H,Y,De ladder werd gedragen door de brandweerman.,STI_EXP02/LARGE/ladder_H.jpg,j
L,H,Y,De replica van het vrijheidsbeeld werd naar het park verplaatst.,STI_EXP02/LARGE/liberty_H.jpg,j
L,H,Y,De space shuttle werd naar het museum vervoerd.,STI_EXP02/LARGE/spaceshuttle_H.jpg,j
L,H,Y,De kraanarm was omlaag toen de kraanwagen stopte.,STI_EXP02/LARGE/crane_H.jpg,j
L,H,N,De Titanic zonk naar de bodem.,STI_EXP02/LARGE/Titanic_H.jpg,j
L,H,N,Het wijnvat stond in de wijnbar.,STI_EXP02/LARGE/barrel_H.JPG,j
L,H,N,De parachute werd geopend door de parachutist.,STI_EXP02/LARGE/Parachute_H.jpg,j
L,H,N,De raket werd gelanceerd vanaf de onderzeeër.,STI_EXP02/LARGE/missle_H.jpg,j
L,H,N,De straaljager vloog omhoog door de wolken,STI_EXP02/LARGE/jetfighter_H.jpg,j
